Game,n,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusLocalXAI,14,1,PermutationIQ,mean,5000,5.896385381504188e-06,9.121402929942339e-06,5.473862411429465e-10,4.0899382555135616e-05,1.2899611731394142e-06,0.9740000000000001,0.04430874976934519,0.9,1.0,0.006266203485560373,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,16,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,50,,,,,,0.716,0.0817162836918577,0.6,0.9,0.01155642766637525,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,100,2.479052025033047e-05,3.228145912055426e-05,7.339004734199701e-08,7.079048524404802e-05,1.614072956027713e-05,0.9159999999999999,0.05480950312357393,0.8,1.0,0.007751234266428875,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,250,9.606923644891796e-05,0.00014354141446872268,1.5832598570271746e-08,0.0005580561394298392,2.029982151038852e-05,0.96,0.053452248382484864,0.8,1.0,0.007559289460184542,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,500,5.5372173522952135e-05,9.05620023077239e-05,2.075261102401822e-09,0.0003770630488642763,1.2807401189924668e-05,0.9640000000000001,0.048487322138506116,0.9,1.0,0.006857142857142855,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,750,2.9064133786137342e-05,5.1509245816240245e-05,1.5122984414058384e-09,0.0002726217170859882,7.284507402093657e-06,0.9620000000000001,0.04903143514780146,0.9,1.0,0.006934092056863767,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,1000,1.6170817128066348e-05,2.4455145383289607e-05,3.629447352734606e-10,0.00011448315688897452,3.4584798270853947e-06,0.968,0.04712120714991612,0.9,1.0,0.006663945022680341,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,2000,8.730110242137313e-06,1.2125584432206494e-05,1.18519970483941e-09,4.5919494834452126e-05,1.7148165955726494e-06,0.9740000000000001,0.044308749769345214,0.9,1.0,0.006266203485560373,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,3500,4.5909634747413715e-06,6.7443884653807355e-06,4.310244716269318e-10,2.756472309880985e-05,9.5380056376541e-07,0.976,0.043141911058690016,0.9,1.0,0.006101187572589319,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting,5000,3.0113219560513453e-06,4.648593924374479e-06,5.296188250487317e-10,2.0596649490459818e-05,6.574104573815556e-07,0.976,0.043141911058689995,0.9,1.0,0.006101187572589319,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,16,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,50,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,100,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,250,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,500,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,750,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,1000,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,2000,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,3500,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,inverse_variance_weighting_optimal,5000,,,,,,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,16,0.0020843289489914808,0.0028368338570894996,6.903940293491611e-08,0.010451274928666683,0.0004011888914895148,0.948,0.05436085025840125,0.8,1.0,0.007687785169756405,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,50,0.0005461302685118328,0.0007727814766940967,2.3068329953219864e-08,0.0033323568664573163,0.00010928780450914992,0.9640000000000001,0.0484873221385061,0.9,1.0,0.006857142857142856,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,100,0.00043269649003211167,0.0010279894244023691,1.7455377594446463e-08,0.005080671324121082,0.00014537965859659418,0.9620000000000001,0.049031435147801464,0.9,1.0,0.006934092056863767,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,250,9.606923644891796e-05,0.00014354141446872268,1.583259857027175e-08,0.0005580561394298389,2.029982151038852e-05,0.96,0.053452248382484864,0.8,1.0,0.007559289460184542,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,500,5.537217352295214e-05,9.056200230772395e-05,2.0752611024018215e-09,0.0003770630488642766,1.2807401189924675e-05,0.9640000000000001,0.048487322138506116,0.9,1.0,0.006857142857142855,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,750,2.9064133786137345e-05,5.150924581624028e-05,1.5122984414058374e-09,0.00027262171708598853,7.2845074020936605e-06,0.9620000000000001,0.04903143514780146,0.9,1.0,0.006934092056863767,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,1000,1.6170817128066344e-05,2.4455145383289604e-05,3.629447352734605e-10,0.00011448315688897469,3.458479827085394e-06,0.968,0.04712120714991612,0.9,1.0,0.006663945022680341,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,2000,8.730110242137314e-06,1.2125584432206497e-05,1.18519970483941e-09,4.5919494834452126e-05,1.7148165955726494e-06,0.9740000000000001,0.044308749769345214,0.9,1.0,0.006266203485560373,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,3500,4.5909634747413665e-06,6.744388465380725e-06,4.3102447162693174e-10,2.756472309880984e-05,9.538005637654085e-07,0.976,0.043141911058690016,0.9,1.0,0.006101187572589319,,,,,
AdultCensusLocalXAI,14,1,PermutationIQStratified,mean,5000,3.011321956051345e-06,4.648593924374475e-06,5.296188250487325e-10,2.0596649490459818e-05,6.574104573815551e-07,0.976,0.043141911058689995,0.9,1.0,0.006101187572589319,,,,,
AdultCensusLocalXAI,14,1,PermutationSamplingSII,,16,0.005467358004659797,0.01372970430312128,1.3537278278328682e-07,0.06512434091320078,0.0019416734032846356,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationSamplingSII,,50,0.005467358004659797,0.01372970430312128,1.3537278278328682e-07,0.06512434091320078,0.0019416734032846356,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationSamplingSII,,100,0.005467358004659797,0.01372970430312128,1.3537278278328682e-07,0.06512434091320078,0.0019416734032846356,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationSamplingSII,,250,0.005467358004659797,0.01372970430312128,1.3537278278328682e-07,0.06512434091320078,0.0019416734032846356,0.742,0.057463386746053655,0.6,0.8,0.008126550087615944,,,,,
AdultCensusLocalXAI,14,1,PermutationSamplingSII,,500,0.0022131838518432713,0.0037183148273035216,3.3502680253532283e-08,0.015731982160379403,0.0005258491257945613,0.9540000000000001,0.05424810727442148,0.8,1.0,0.007671840904055743,,,,,
