Game,k,Approximator,Variant,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec@10_mean,Prec@10_std,Prec@10_min,Prec@10_max,Prec@10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se
AdultCensusLocalXAI,1,SHAPIQ,,100,0.0009079145765840619,0.0006464700791577916,0.0004507911997773834,0.0013650379533907404,0.00045712337680667845,0.7,0.1414213562373096,0.6,0.8,0.1,,,,,
AdultCensusLocalXAI,1,SHAPIQ,,1000,3.493678878440193e-05,4.0325445713564145e-05,6.422392665970724e-06,6.345118490283313e-05,2.85143961184312e-05,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,SHAPIQ,,10000,1.213479970112847e-06,1.1603827667940473e-06,3.92965446940768e-07,2.033994493284926e-06,8.205145231720788e-07,0.8500000000000001,0.07071067811865478,0.8,0.9,0.04999999999999999,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,100,0.00044713476109974255,0.00026147268165327637,0.00026224565480767947,0.0006320238673918056,0.00018488910629206308,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,1000,2.6339547129186967e-05,1.8156264924208593e-06,2.5055705324294233e-05,2.7623388934079705e-05,1.2838418048927362e-06,0.7,0.0,0.7,0.7,0.0,,,,,
AdultCensusLocalXAI,1,SVARMIQ,,10000,5.425897271558492e-07,6.200248696439966e-08,4.987473481728917e-07,5.864321061388068e-07,4.384237898295753e-08,0.8,0.0,0.8,0.8,0.0,,,,,
AdultCensusLocalXAI,2,KernelSHAPIQ,,100,0.006985592677159519,0.0038229270613908033,0.004282375028068521,0.009688810326250517,0.002703217649090998,0.25,0.07071067811865474,0.2,0.3,0.04999999999999999,0.005906581878662109,6.743495761743045e-05,0.005858898162841797,0.005954265594482422,4.76837158203125e-05
AdultCensusLocalXAI,2,KernelSHAPIQ,,1000,4.045451193760159e-05,2.2228131437974333e-05,2.4736849464704058e-05,5.617217441049913e-05,1.5717662472897532e-05,0.9,0.0,0.9,0.9,0.0,0.05837130546569824,0.008171430989292135,0.052593231201171875,0.06414937973022461,0.005778074264526366
AdultCensusLocalXAI,2,KernelSHAPIQ,,10000,9.851671383897083e-07,7.790088125136765e-07,4.3432472445720787e-07,1.536009552322209e-06,5.508424139325005e-07,0.95,0.0707106781186547,0.9,1.0,0.04999999999999999,0.6644959449768066,0.03327240808844018,0.6409687995910645,0.6880230903625488,0.023527145385742184
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,100,0.0006648241672882793,0.0003711448400327133,0.00040238513409875126,0.0009272632004778073,0.000262439033189528,0.55,0.21213203435596417,0.4,0.7,0.14999999999999997,0.0159987211227417,0.002617993642102694,0.014147520065307617,0.01784992218017578,0.001851201057434082
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,1000,6.432431734658056e-05,2.71580001429361e-05,4.512071128204522e-05,8.352792341111591e-05,1.9203606064535345e-05,0.8500000000000001,0.0707106781186547,0.8,0.9,0.04999999999999999,0.06638610363006592,0.01068624914624016,0.05882978439331055,0.07394242286682129,0.007556319236755371
AdultCensusLocalXAI,2,PermutationIQ,inverse_variance_weighting,10000,2.0676848767764002e-05,1.588870947958246e-05,9.441834550448265e-06,3.191186298507974e-05,1.1235014217315737e-05,0.8500000000000001,0.0707106781186547,0.8,0.9,0.04999999999999999,0.51893150806427,0.1303701491004438,0.4267458915710449,0.6111171245574951,0.0921856164932251
AdultCensusLocalXAI,2,PermutationIQ,mean,100,0.005194301175985395,0.0049045914873443236,0.0017262312763344086,0.008662371075636381,0.003468069899650986,0.45,0.07071067811865474,0.4,0.5,0.04999999999999999,0.0159987211227417,0.002617993642102694,0.014147520065307617,0.01784992218017578,0.001851201057434082
AdultCensusLocalXAI,2,PermutationIQ,mean,1000,0.00029974848215633164,7.193688530776363e-05,0.00024888142273777307,0.00035061554157489027,5.086705941855859e-05,0.6499999999999999,0.0707106781186547,0.6,0.7,0.04999999999999999,0.06638610363006592,0.01068624914624016,0.05882978439331055,0.07394242286682129,0.007556319236755371
AdultCensusLocalXAI,2,PermutationIQ,mean,10000,3.542687490957691e-05,1.998116426763575e-05,2.1298058159929338e-05,4.955569165922449e-05,1.4128816749647575e-05,0.8500000000000001,0.0707106781186547,0.8,0.9,0.04999999999999999,0.51893150806427,0.1303701491004438,0.4267458915710449,0.6111171245574951,0.0921856164932251
AdultCensusLocalXAI,2,PermutationSamplingSII,,100,0.000686080586080581,0.00022775918055803587,0.0005250305250305026,0.0008471306471306595,0.00016105006105007844,0.0,0.0,0.0,0.0,0.0,0.0018192529678344727,0.0010012405332247985,0.0011112689971923828,0.0025272369384765625,0.0007079839706420897
AdultCensusLocalXAI,2,PermutationSamplingSII,,1000,0.0004827838827838765,0.00041511225933393386,0.00018925518925518318,0.0007763125763125699,0.00029352869352869334,0.7,0.1414213562373096,0.6,0.8,0.1,0.015714526176452637,0.0017733707979443773,0.014460563659667969,0.016968488693237305,0.001253962516784668
AdultCensusLocalXAI,2,PermutationSamplingSII,,10000,6.836313037567034e-05,2.3185888404484143e-05,5.196823145702506e-05,8.475802929431562e-05,1.6394898918645276e-05,0.9,0.0,0.9,0.9,0.0,0.13705146312713623,0.0439337063003619,0.10598564147949219,0.16811728477478027,0.031065821647644043
AdultCensusLocalXAI,2,SHAPIQ,,100,0.005432810594713931,0.006010522735187517,0.0011827292101869223,0.009682891979240939,0.0042500813845270085,0.4,0.282842712474619,0.2,0.6,0.19999999999999998,0.015562891960144043,0.0036534574163183385,0.012979507446289062,0.018146276473999023,0.0025833845138549805
AdultCensusLocalXAI,2,SHAPIQ,,1000,0.000204351237508012,0.00017280227933039167,8.216157398900008e-05,0.00032654090102702393,0.0001221896635190119,0.75,0.07071067811865482,0.7,0.8,0.050000000000000044,0.08134961128234863,0.007627230881319471,0.07595634460449219,0.08674287796020508,0.0053932666778564444
AdultCensusLocalXAI,2,SHAPIQ,,10000,4.565690329606527e-06,3.189268661522749e-06,2.310536832018048e-06,6.820843827195007e-06,2.2551534975884793e-06,0.95,0.0707106781186547,0.9,1.0,0.04999999999999999,0.8313325643539429,0.025087995869806694,0.8135926723480225,0.8490724563598633,0.01773989200592041
AdultCensusLocalXAI,2,SVARMIQ,,100,0.002105030840677831,0.0013149823626654933,0.0011751978948963526,0.003034863786459309,0.0009298329457814781,0.4,0.14142135623730953,0.3,0.5,0.1,0.32278192043304443,0.03589478500278801,0.29740047454833984,0.348163366317749,0.02538144588470459
AdultCensusLocalXAI,2,SVARMIQ,,1000,0.00017742890117871003,4.662124835776609e-05,0.00014446270031755144,0.00021039510203986863,3.2966200861158593e-05,0.75,0.21213203435596428,0.6,0.9,0.15,0.9782664775848389,0.05559742515726671,0.938953161239624,1.0175797939300537,0.039313316345214844
AdultCensusLocalXAI,2,SVARMIQ,,10000,2.7639691185269232e-06,3.3455175962365703e-07,2.527405300639144e-06,3.000532936414703e-06,2.3656381788777957e-07,1.0,0.0,1.0,1.0,0.0,7.51065993309021,0.19682746841981558,7.371481895446777,7.649837970733643,0.13917803764343262
