Game,n,k,Approximator,Budget,MSE_mean,MSE_std,MSE_min,MSE_max,MSE_se,Prec10_mean,Prec10_std,Prec10_min,Prec10_max,Prec10_se,Runtime_mean,Runtime_std,Runtime_min,Runtime_max,Runtime_se,Iterations
SOUM,14,3,PermutationIQ,10000,0.00014972084754143026,0.0002848755206638002,6.377617107037843e-09,0.0012823831443132582,5.201091624953081e-05,0.6033333333333334,0.20924055341974768,0.1,0.9,0.03820192368428685,1.4670563141504924,0.007708474447870824,1.4468181133270264,1.4818711280822754,0.0014073684463503343,30
SOUM,14,3,PermutationIQStratified,10000,0.00015511118125460961,0.0002964378989828469,6.146807820058113e-09,0.0013184715017955611,5.412190805744766e-05,0.6,0.19475891374404056,0.1,0.9,0.03555795011093798,1.555685567855835,0.08235087331521349,1.395134449005127,1.8496885299682617,0.01503514364833089,30
SOUM,14,3,PermutationSamplingSII,10000,3.3702192869513787e-05,4.4842046986230975e-05,4.420046066013964e-09,0.0001904844695422361,8.18700021968842e-06,0.5566666666666666,0.13308885632599343,0.3,0.9,0.024298589587436904,0.09506998856862386,0.0023767149270182246,0.09123611450195312,0.10543012619018555,0.0004339267927623746,30
SOUM,14,3,SHAPIQ,10000,4.684135868061821e-05,0.00012326702545306588,1.061864350158195e-09,0.000611701913132887,2.250537681240255e-05,0.8633333333333334,0.14259499757471628,0.4,1.0,0.026034165586355514,1.3505350589752196,0.028497166086078784,1.290867805480957,1.4280755519866943,0.005202846896772184,30
SOUM,14,3,SVARMIQ,10000,1.9572715280795926e-05,4.9107221146332775e-05,9.77097469693723e-10,0.00024388006947514225,8.96571091941372e-06,0.89,0.1647359433593129,0.1,1.0,0.030076530736596354,51.6995280901591,0.30066101073831647,50.97647047042847,52.75483822822571,0.054892939247892895,30
SOUM,14,4,KernelSHAPIQ,10000,2.42219681368863e-06,4.144829535920713e-06,9.693766185723653e-11,1.841082248161984e-05,7.567388779458147e-07,0.9466666666666667,0.05713464637233653,0.8,1.0,0.010431311544403148,9.650154852867127,0.15306253967829211,9.47642183303833,10.241440296173096,0.02794526856361003,30
SOUM,14,4,PermutationIQ,10000,0.0005686026486703121,0.0010753501119567244,2.8954574616418804e-08,0.00456970921715157,0.0001963311711781346,0.19666666666666668,0.16914252984479938,0.0,0.6,0.030881059676495803,6.178781382242838,0.08625644815864875,6.10529351234436,6.478601932525635,0.01574820079558896,30
SOUM,14,4,PermutationIQStratified,10000,0.0005809102981833633,0.0010789208716994784,2.886078157069343e-08,0.004530339077251923,0.0001969830997309805,0.18666666666666665,0.17167196733251497,0.0,0.6,0.031342869666436145,7.061853218078613,0.17702448056705747,6.828229904174805,7.771603107452393,0.03232010041240411,30
SOUM,14,4,PermutationSamplingSII,10000,1.3902395312336583e-05,2.0772766202075335e-05,2.561887822914828e-09,9.249644806780645e-05,3.792570876885859e-06,0.17333333333333334,0.11724814044061256,0.0,0.4,0.02140648378161907,0.08804843425750733,0.001028403418484395,0.08578228950500488,0.0899515151977539,0.00018775991683977672,30
SOUM,14,4,SHAPIQ,10000,0.0002724870504069447,0.0007209569373908861,6.8563344328153735e-09,0.003569099721076897,0.00013162812586627601,0.51,0.2795933006942467,0.0,1.0,0.05104651923918791,3.078282880783081,0.05776344907027243,2.9502036571502686,3.2740590572357178,0.010546114685029657,30
SOUM,14,4,SVARMIQ,10000,8.509574085817382e-05,0.00020367249500552367,4.717488566809731e-09,0.0009636473180319984,3.718533995262786e-05,0.7100000000000001,0.25643443740975036,0.0,1.0,0.04681830863015564,296.19677296479546,0.9920998061300539,293.96266317367554,298.156044960022,0.18113181437131004,30
SOUM,14,5,KernelSHAPIQ,10000,6.102897205608461e-06,9.789620230150836e-06,2.629494403986871e-10,3.365536697579363e-05,1.7873319431541763e-06,0.8266666666666667,0.08276819867946675,0.7,1.0,0.015111336486937747,61.22251441478729,4.48185752316021,56.29856204986572,72.38836121559143,0.8182714883196933,30
SOUM,14,5,PermutationIQ,10000,0.0021678558763805105,0.0045063763390766785,1.2188116093469535e-07,0.021063334301892046,0.000822747991173282,0.04666666666666667,0.08193072487266861,0.0,0.3,0.014958435388503393,20.042581899960837,1.141789969873293,18.399449110031128,22.384254217147827,0.20846137414424865,30
SOUM,14,5,PermutationIQStratified,10000,0.002220655440030092,0.004505042443425718,1.2577799369074388e-07,0.020766975845149537,0.0008225044562608188,0.043333333333333335,0.08172001541568767,0.0,0.3,0.01491996528094735,23.173663282394408,2.202476180609694,20.363444328308105,29.2082097530365,0.402115295495918,30
SOUM,14,5,PermutationSamplingSII,10000,4.635373526651423e-06,7.226787659850207e-06,7.92398803774352e-10,3.3083175484074336e-05,1.3194248731999768e-06,0.06333333333333334,0.06149478998583781,0.0,0.2,0.011227361214762057,0.08324011166890462,0.005225146631816721,0.07671809196472168,0.09782886505126953,0.0009539768921727208,30
SOUM,14,5,SHAPIQ,10000,0.0021813935174324747,0.006034982417183135,5.080082159539265e-08,0.030629415351204024,0.0011018320013460852,0.020000000000000004,0.04842341981115023,0.0,0.2,0.008840866447369844,7.348523060480754,0.894593494264554,6.165542125701904,8.914979219436646,0.16332967886868816,30
SOUM,14,5,SVARMIQ,10000,0.0006276720158173908,0.001539643196418413,2.8452438714991085e-08,0.007229600396782437,0.000281099103062574,0.07666666666666667,0.10063019815944514,0.0,0.4,0.018372476499380983,1302.0974453131357,46.17909521417021,1242.164955854416,1373.9580669403076,8.43111071132663,30
