Game,k,Group,Approximator,Variant,Budget,ErrorSquared_mean,ErrorSquared_std,ErrorSquared_min,ErrorSquared_max,ErrorSquared_se,Error_mean,Error_std,Error_min,Error_max,Error_se
AdultCensusLocalXAI,2,"(4, 6)",PermutationIQ,player_6,100,0.027422222222222233,0.03821519315212632,0.00039999999999999986,0.05444444444444447,0.027022222222222232,-0.1266666666666667,0.1508494466531302,-0.2333333333333334,-0.019999999999999997,0.10666666666666669
AdultCensusLocalXAI,2,"(4, 6)",PermutationIQ,player_6,1000,0.002120049979758894,0.0029083876339598288,6.35093614668004e-05,0.004176590598050987,0.0020565406182920932,-0.036297911628017265,0.04006274057534114,-0.06462654716175843,-0.007969276094276091,0.028328635533741167
AdultCensusLocalXAI,2,"(4, 6)",PermutationIQ,player_6,10000,0.0004079771095040624,2.9479720986504745e-06,0.00040589257844235796,0.0004100616405657669,2.084531061704475e-06,-0.020198377330730273,7.297546853343876e-05,-0.020249978779390533,-0.020146775882070013,5.1601448660260056e-05
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting,100,0.000423113394952588,0.0005983727015636738,3.7035418890594696e-36,0.000846226789905176,0.00042311339495258797,0.014544988741016405,0.020569720342109372,-1.9244588561617704e-18,0.029089977482032812,0.014544988741016406
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting,1000,0.0007777915082730386,0.0006478498894678518,0.0003196924582393653,0.001235890558306712,0.0004580990500336733,0.02651759042403002,0.012215474315508993,0.017879945700123513,0.03515523514793653,0.008637644723906508
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting,10000,0.00033557535127816336,0.00016108345792254842,0.00022167214584415147,0.00044947855671217523,0.00011390320543401187,0.018044783816275514,0.00446343551584306,0.014888658295634011,0.02120090933691702,0.003156125520641504
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting_optimal,100,0.002823793163447793,0.003993446589084295,3.7035418890594696e-36,0.005647586326895586,0.002823793163447793,0.03757521233105538,0.05313937488762728,-1.9244588561617704e-18,0.07515042466211076,0.03757521233105538
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.0009860979216894969,0.0005576118820472502,0.000591806778623693,0.0013803890647553008,0.00039429114306580384,0.03074033331543455,0.009069711058846528,0.02432707912232155,0.03715358750854755,0.0064132541931130015
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,inverse_variance_weighting_optimal,10000,0.00036062713740582806,0.00020133094967642154,0.00021826465762690285,0.0005029896171847533,0.0001423624797789252,0.018600606398630096,0.0054119458624544954,0.014773782779874045,0.02242743001738615,0.0038268236187560525
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,mean,100,0.002833371913580247,0.004006992987432194,3.7035418890594696e-36,0.005666743827160494,0.0028333719135802465,0.03763888888888889,0.05322942713932066,-1.9244588561617704e-18,0.07527777777777778,0.03763888888888889
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,mean,1000,0.0009141079983605769,0.0005799410740485673,0.0005040277322122252,0.0013241882645089284,0.00041008026614835157,0.029419979825642963,0.009856245270825792,0.022450561957604205,0.03638939769368172,0.006969417868038757
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,mean,10000,0.00036590156776155627,0.00021291394920626663,0.000215348670468597,0.0005164544650545156,0.00015055289729295929,0.01870019879110786,0.005692825824597903,0.014674763046420784,0.022725634535794938,0.004025435744687077
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_4,100,0.0002469135802469134,0.0003491885339192825,3.7035418890594696e-36,0.0004938271604938268,0.00024691358024691337,0.011111111111111106,0.01571348402636772,-1.9244588561617704e-18,0.022222222222222216,0.011111111111111108
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_4,1000,0.002309762727561531,0.0002161196251311099,0.002156943075083828,0.002462582380039233,0.00015281965247770248,0.0480336571900539,0.0022496686466740756,0.046442901234567895,0.0496244131455399,0.001590755955486002
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_4,10000,0.00030018956587307016,5.689308400735194e-05,0.00025996008036885567,0.0003404190513772846,4.0229485504214465e-05,0.017286863067611707,0.001645558357951754,0.016123277593865823,0.018450448541357595,0.0011635854737458862
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_7,100,0.008234722222222221,0.011645655849041777,3.7035418890594696e-36,0.016469444444444443,0.008234722222222221,0.06416666666666666,0.0907453702522736,-1.9244588561617704e-18,0.12833333333333333,0.06416666666666666
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_7,1000,0.00035794439099030796,0.00047465946978154634,2.2309461153365402e-05,0.0006935793208272506,0.00033563492983694254,0.01080630246123203,0.02196215918832566,-0.004723289230331486,0.026335894152795546,0.015529591691563515
AdultCensusLocalXAI,2,"(4, 7)",PermutationIQ,player_7,10000,0.00045198897933123553,0.00039181540517780044,0.00017493364935665813,0.0007290443093058129,0.00027705532997457735,0.02011353451460401,0.009740093291244051,0.013226248498975744,0.02700082053023228,0.006887286015628268
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting,100,7.269663237616865e-05,0.00010280856344522874,1.88079096131566e-35,0.0001453932647523373,7.269663237616864e-05,0.006028956475882398,0.008526232015149992,-4.336808689942018e-18,0.0120579129517648,0.0060289564758824014
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting,1000,0.0024921742854157607,0.0035191210160719594,3.779951135184909e-06,0.004980568619696336,0.0024883943342805756,0.03625867669972706,0.0485279846975007,0.0019442096428073051,0.0705731437566468,0.03431446705691975
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting,10000,0.0007309476677035097,0.00031396765713642943,0.0005089390082690875,0.0009529563271379318,0.00022200865943442213,0.02671483366038399,0.005876279469447321,0.022559676599390503,0.030869990721377482,0.004155157060993489
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting_optimal,100,0.0029181564675306946,0.004102162957696057,1.748922261154775e-05,0.005818823712449841,0.002900667244919147,0.04023161323300355,0.0509818352788659,0.004182011789981916,0.0762812146760252,0.036049601443021634
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.0024900568255138322,0.003487150227389732,2.4269252710341447e-05,0.004955844398317323,0.0024657875728034905,0.03766207090235494,0.046295253338972484,0.004926383329618336,0.07039775847509154,0.0327356875727366
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,inverse_variance_weighting_optimal,10000,0.0007482069467365327,0.0002879176294545551,0.0005446184385260611,0.0009517954549470043,0.00020358850821047155,0.02709412193574756,0.005313285851029575,0.023337061480102013,0.03085118239139311,0.003757060455645548
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,mean,100,0.11402695244839767,0.15011956492112513,0.007876390103895929,0.2201775147928994,0.10615056234450174,0.19024087024087025,0.394551298916615,-0.08874902874902874,0.46923076923076923,0.278989898989899
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,mean,1000,0.003730399903284251,0.004242865348531766,0.0007302410436760149,0.006730558762892487,0.003000158859608236,0.05453147761319708,0.03890290098708931,0.027022972517397395,0.08203998270899676,0.027508505095799683
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,mean,10000,0.0010882952738603,0.0002200229586568177,0.0009327155477773368,0.0012438749999432632,0.0001555797260829632,0.03290450208832562,0.003343356451135617,0.030540392069803832,0.035268612106847404,0.0023641100185217852
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_4,100,0.0002469135802469134,0.0003491885339192825,1.88079096131566e-35,0.0004938271604938268,0.00024691358024691337,0.011111111111111106,0.01571348402636772,-4.336808689942018e-18,0.022222222222222216,0.011111111111111108
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_4,1000,0.0023216206296528155,0.003282570132333901,4.93029359091607e-07,0.00464274822994654,0.002321127600293724,0.034419937836897944,0.047684138011646955,0.0007021604938271641,0.06813771517996872,0.03371777734307078
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_4,10000,0.000698696128209031,0.0003631981522591947,0.00044187625183213025,0.0009555160045859317,0.0002568198763769007,0.02596613734849027,0.006993688498692157,0.021020852785558684,0.030911421911421863,0.004945284562931589
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_8,100,0.4602991246515722,0.5945508453681672,0.039888190131546764,0.8807100591715976,0.4204109345200254,0.36937062937062937,0.8048160818595977,-0.1997202797202797,0.9384615384615385,0.5690909090909091
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_8,1000,0.006025237364944473,0.004496743773911624,0.0028455593491531765,0.00920491538073577,0.0031796780157912967,0.07464301738949622,0.030121663962531655,0.05334378454096762,0.0959422502380248,0.02129923284852859
AdultCensusLocalXAI,2,"(4, 8)",PermutationIQ,player_8,10000,0.0016810307283323099,0.001090132822348742,0.0009101904172554844,0.0024518710394091352,0.0007708403110768255,0.03984286682816096,0.013680401400963391,0.030169362228185805,0.04951637142813612,0.009673504599975158
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting,100,3.5558704112374197e-35,0.0,3.5558704112374197e-35,3.5558704112374197e-35,0.0,-5.9631119486702744e-18,0.0,-5.9631119486702744e-18,-5.9631119486702744e-18,0.0
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting,1000,0.0004382585409790211,9.223356648327263e-05,0.0003730395606656788,0.0005034775212923634,6.521898031334231e-05,-0.020876268426541153,0.00220905299258394,-0.022438304777597694,-0.019314232075484616,0.001562036351056539
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting,10000,0.000345091188488811,8.339066636310661e-05,0.0002861250828157934,0.0004040572941618286,5.896610567301759e-05,-0.01850820435463088,0.0022528027237348302,-0.020101176437259304,-0.016915232272002458,0.0015929720826284228
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting_optimal,100,0.0003529006800557742,0.0004990769279055642,3.5558704112374197e-35,0.0007058013601115484,0.00035290068005577413,-0.013283461146398825,0.01878565090849327,-0.026566922292797644,-5.9631119486702744e-18,0.013283461146398818
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.00045742128578058123,7.781209316707688e-06,0.00045191913990690524,0.00046292343165425716,5.502145873675961e-06,-0.021387022686186016,0.0001819142718199297,-0.0215156555013845,-0.02125838987098753,0.00012863281519848516
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,inverse_variance_weighting_optimal,10000,0.0003527961829026705,8.375955922143688e-05,0.0002935692305879962,0.0004120231352173447,5.9226952314674254e-05,-0.018716107560520806,0.002237632984064399,-0.02029835301735943,-0.017133862103682177,0.001582245456838627
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,mean,100,0.00031250000000000006,0.0004419417382415923,3.5558704112374197e-35,0.0006250000000000001,0.00031250000000000006,-0.012500000000000004,0.017677669529663684,-0.025,-5.9631119486702744e-18,0.012499999999999997
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,mean,1000,0.0004433246521423658,1.2238083879167745e-05,0.00043467102004267653,0.0004519782842420551,8.65363209968928e-06,-0.021054273169883505,0.0002906318299477884,-0.02125978090766824,-0.020848765432098768,0.0002055077377847367
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,mean,10000,0.00035957211956053395,7.980950171031452e-05,0.00030313827969805123,0.0004160059594230167,5.643383986248275e-05,-0.01890354542961494,0.0021109664852943973,-0.02039622414622414,-0.01741086671300574,0.0014926787166092016
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_4,100,0.0012499999999999998,0.0017677669529663684,3.5558704112374197e-35,0.0024999999999999996,0.0012499999999999996,-0.025,0.03535533905932737,-0.049999999999999996,-5.9631119486702744e-18,0.024999999999999994
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_4,1000,0.0007091349213732205,5.7647210986584905e-05,0.0006683721875681147,0.0007498976551783263,4.0762733805105825e-05,-0.02661857720396453,0.0010828379470635096,-0.027384259259259257,-0.025852895148669803,0.0007656820552947273
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_4,10000,0.00026239268850548653,0.00013060749658777609,0.00017003924199447115,0.00035474613501650185,9.235344651101535e-05,-0.015937307592387796,0.004097539557125657,-0.018834705599411472,-0.013039909585364124,0.002897398007023674
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_9,100,3.5558704112374197e-35,0.0,3.5558704112374197e-35,3.5558704112374197e-35,0.0,-5.9631119486702744e-18,0.0,-5.9631119486702744e-18,-5.9631119486702744e-18,0.0
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_9,1000,0.00024132376090725527,5.155376506127116e-05,0.0002048697440367323,0.0002777777777777782,3.6454016870522944e-05,-0.015489969135802478,0.0016641016069590885,-0.01666666666666668,-0.014313271604938275,0.0011766975308642022
AdultCensusLocalXAI,2,"(4, 9)",PermutationIQ,player_9,10000,0.00047829515699930234,5.440913984523037e-06,0.0004744478498249934,0.0004821424641736113,3.847307174308957e-06,-0.02186978326684208,0.00012439341346313874,-0.021957742693036807,-0.021781823840647353,8.795942619472738e-05
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting,100,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting,1000,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting,10000,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting_optimal,100,1.481416755623788e-35,3.779860102044577e-51,1.4814167556237878e-35,1.4814167556237884e-35,2.6727647100921956e-51,3.848917712323541e-18,7.703719777548943e-34,3.848917712323541e-18,3.8489177123235415e-18,5.447352495065779e-34
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting_optimal,1000,1.4814167556237884e-35,0.0,1.4814167556237884e-35,1.4814167556237884e-35,0.0,3.8489177123235415e-18,0.0,3.8489177123235415e-18,3.8489177123235415e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,inverse_variance_weighting_optimal,10000,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,mean,100,6.172839506172842e-05,8.729713347982072e-05,1.4814167556237878e-35,0.00012345679012345685,6.172839506172841e-05,0.005555555555555558,0.00785674201318386,3.848917712323541e-18,0.011111111111111113,0.005555555555555554
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,mean,1000,7.12678555515933e-05,3.1063087254763965e-05,4.930293590916028e-05,9.323277519402631e-05,2.1964919642433015e-05,0.00833865849417493,0.0018625950011301846,0.007021604938271611,0.00965571205007825,0.0013170535559033187
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,mean,10000,4.765320351355362e-06,6.325800680827401e-06,2.92303793507828e-07,9.238336909202897e-06,4.4730165578475336e-06,0.00179005726398775,0.0017669269045436221,0.0005406512679239992,0.003039463260051501,0.0012494059960637507
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_10,100,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_10,1000,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_10,10000,1.4814167556237878e-35,0.0,1.4814167556237878e-35,1.4814167556237878e-35,0.0,3.848917712323541e-18,0.0,3.848917712323541e-18,3.848917712323541e-18,0.0
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_4,100,0.0002469135802469136,0.0003491885339192827,1.4814167556237878e-35,0.0004938271604938272,0.00024691358024691353,0.011111111111111113,0.01571348402636772,3.848917712323541e-18,0.022222222222222223,0.011111111111111108
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_4,1000,0.0002850714222063731,0.0001242523490190558,0.00019721174363664101,0.0003729311007761051,8.785967856973203e-05,0.016677316988349858,0.003725190002260369,0.01404320987654322,0.019311424100156495,0.0026341071118066374
AdultCensusLocalXAI,2,"(4, 10)",PermutationIQ,player_4,10000,1.9061281405421422e-05,2.5303202723309576e-05,1.1692151740313035e-06,3.695334763681154e-05,1.7892066231390117e-05,0.003580114527975496,0.0035338538090872442,0.0010813025358479946,0.006078926520102997,0.0024988119921275013
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting,100,0.00027491082045184314,0.0003887826107261114,3.886478197406188e-35,0.0005498216409036863,0.00027491082045184314,0.011724137931034488,0.016580434869201802,6.2341624917916505e-18,0.02344827586206897,0.011724137931034481
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting,1000,0.0001036259191969943,5.096085097323747e-05,6.759115589878102e-05,0.0001396606824952076,3.6034763298213285e-05,-0.010019598074016242,0.00254305864350956,-0.011817812085796913,-0.008221384062235569,0.001798214011780672
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting,10000,7.343470987029692e-05,3.230268109895253e-05,5.0593265014721067e-05,9.627615472587276e-05,2.2841444855575845e-05,-0.008462467795611075,0.001908585171556328,-0.009812041312890644,-0.007112894278331505,0.0013495735172795696
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting_optimal,100,0.0003452738143692659,0.0002464270195549924,0.00017102359777434087,0.000519524030964191,0.00017425021659492503,0.00485773535914556,0.025364393213707002,-0.013077599082948707,0.022793069801239827,0.017935334442094268
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting_optimal,1000,0.00014938915282669492,3.883210755947366e-05,0.00012193070624362572,0.00017684759940976414,2.7458446583069207e-05,-0.012170314844001676,0.0015953616671886112,-0.013298405897315818,-0.011042223790687531,0.0011280910533141434
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,inverse_variance_weighting_optimal,10000,7.670297524834946e-05,2.5085378590128012e-05,5.89649339386381e-05,9.44410165580608e-05,1.773804130971135e-05,-0.00869846979780596,0.001441942041142418,-0.009718076793175736,-0.007678862802436185,0.0010196069953697753
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,mean,100,0.0007849406310580545,0.0003216714493603661,0.0005574845679012345,0.0010123966942148744,0.00022745606315681996,-0.004103535353535342,0.03919442890667856,-0.031818181818181794,0.02361111111111111,0.02771464646464645
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,mean,1000,6.331380949706978e-05,2.5262073401449818e-05,4.54508260880723e-05,8.117679290606726e-05,1.786298340899748e-05,-0.00787576962899732,0.0016037844294250888,-0.0090098164746052,-0.006741722783389443,0.001134046845607878
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,mean,10000,6.994000423339986e-05,4.5272369515801085e-05,3.7927604748393775e-05,0.00010195240371840594,3.201239948500608e-05,-0.008127843734795599,0.002785017219387992,-0.01009714829634615,-0.006158539173245046,0.0019693045615505516
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,player_11,100,0.0023372933884297496,0.0024215485326791342,0.0006249999999999999,0.0040495867768594995,0.0017122933884297497,-0.019318181818181804,0.06267537378698941,-0.0636363636363636,0.024999999999999998,0.04431818181818179
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,player_11,1000,1.6506160149658587e-06,1.8911994172024975e-06,3.133360824859261e-07,2.9878959474457914e-06,1.3372799324799326e-06,-0.0005843944136197562,0.0016180847841172476,-0.0017285531370038328,0.0005597643097643205,0.0011441587233840768
AdultCensusLocalXAI,2,"(4, 11)",PermutationIQ,player_11,10000,6.407497393907251e-05,7.251790369885758e-05,1.2797072476177291e-05,0.00011535287540196771,5.127790146289521e-05,-0.007158772599949065,0.005064967680309718,-0.010740245593186764,-0.0035772996067113655,0.003581472993237699
