"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"116","k=2","SVARMIQ",750,0.676,0.658029502635981,0.693970497364019
"117","k=2","SVARMIQ",1000,0.32,0.29319762422958,0.34680237577042
"118","k=2","SVARMIQ",2000,0.828,0.815209697551086,0.840790302448914
"119","k=2","SVARMIQ",3500,0.91,0.899599843015314,0.920400156984686
"120","k=2","SVARMIQ",5000,0.91,0.898482488931002,0.921517511068998
"121","k=3","KernelSHAPIQ",16,0.022,0.0154285714285714,0.0285714285714286
"122","k=3","KernelSHAPIQ",50,0.046,0.0316544111878478,0.0603455888121522
"123","k=3","KernelSHAPIQ",100,0.038,0.0269749820676716,0.0490250179323284
"124","k=3","KernelSHAPIQ",250,0.012,0.00735769234020803,0.016642307659792
"125","k=3","KernelSHAPIQ",500,0.062,0.0517421011022764,0.0722578988977236
"126","k=3","KernelSHAPIQ",750,0.138,0.119954705514699,0.156045294485301
"127","k=3","KernelSHAPIQ",1000,0.712,0.692910522184583,0.731089477815417
"128","k=3","KernelSHAPIQ",2000,0.734,0.712886120243609,0.755113879756391
"129","k=3","KernelSHAPIQ",3500,0.858,0.843406179669575,0.872593820330425
"130","k=3","KernelSHAPIQ",5000,0.872,0.857991256374707,0.886008743625293
"131","k=3","PermutationIQ",16,0.036,0.025793959371719,0.046206040628281
"132","k=3","PermutationIQ",50,0.18,0.159004373633287,0.200995626366713
"133","k=3","PermutationIQ",100,0.212,0.192697890566795,0.231302109433205
"134","k=3","PermutationIQ",250,0.294,0.273916500833383,0.314083499166617
"135","k=3","PermutationIQ",500,0.392,0.370649666637406,0.413350333362594
"136","k=3","PermutationIQ",750,0.46,0.440833703050002,0.479166296949998
"137","k=3","PermutationIQ",1000,0.506,0.483793179940774,0.528206820059226
"138","k=3","PermutationIQ",2000,0.588,0.566880321585627,0.609119678414373
"139","k=3","PermutationIQ",3500,0.674,0.654038813171762,0.693961186828238
"140","k=3","PermutationIQ",5000,0.746,0.727002685474424,0.764997314525576
"141","k=3","PermutationIQStratified",16,0.036,0.025793959371719,0.046206040628281
"142","k=3","PermutationIQStratified",50,0.018,0.0118124549063692,0.0241875450936308
"143","k=3","PermutationIQStratified",100,0.096,0.0817257188608037,0.110274281139196
"144","k=3","PermutationIQStratified",250,0.226,0.203903735656017,0.248096264343983
"145","k=3","PermutationIQStratified",500,0.296,0.276008164931959,0.315991835068041
"146","k=3","PermutationIQStratified",750,0.374,0.35466197570398,0.39333802429602
"147","k=3","PermutationIQStratified",1000,0.442,0.422393670326517,0.461606329673483
"148","k=3","PermutationIQStratified",2000,0.576,0.556504317589449,0.595495682410551
"149","k=3","PermutationIQStratified",3500,0.658,0.637182032877775,0.678817967122225
"150","k=3","PermutationIQStratified",5000,0.75,0.730994093291928,0.769005906708072
"151","k=3","PermutationSamplingSII",16,0.018,0.0125116077964861,0.0234883922035139
"152","k=3","PermutationSamplingSII",50,0.018,0.0125116077964861,0.0234883922035139
"153","k=3","PermutationSamplingSII",100,0.018,0.0125116077964861,0.0234883922035139
"154","k=3","PermutationSamplingSII",250,0.018,0.0125116077964861,0.0234883922035139
"155","k=3","PermutationSamplingSII",500,0.054,0.0440163398801965,0.0639836601198035
"156","k=3","PermutationSamplingSII",750,0.058,0.0493858208961821,0.0666141791038179
"157","k=3","PermutationSamplingSII",1000,0.048,0.0397984570889101,0.0562015429110899
"158","k=3","PermutationSamplingSII",2000,0.122,0.107631667473508,0.136368332526492
"159","k=3","PermutationSamplingSII",3500,0.172,0.155827460916474,0.188172539083526
"160","k=3","PermutationSamplingSII",5000,0.196,0.177938879280824,0.214061120719176
"161","k=3","SHAPIQ",16,0.024,0.0156407206638127,0.0323592793361873
"162","k=3","SHAPIQ",50,0.02,0.0130014578777623,0.0269985421222377
"163","k=3","SHAPIQ",100,0.016,0.0100341105663368,0.0219658894336632
"164","k=3","SHAPIQ",250,0.042,0.0324852423969447,0.0515147576030553
"165","k=3","SHAPIQ",500,0.034,0.0266543084958958,0.0413456915041043
"166","k=3","SHAPIQ",750,0.13,0.112797722030297,0.147202277969703
"167","k=3","SHAPIQ",1000,0.034,0.0227115735627781,0.045288426437222
"168","k=3","SHAPIQ",2000,0.352,0.320670285344291,0.383329714655709
"169","k=3","SHAPIQ",3500,0.534,0.497342734662269,0.570657265337731
"170","k=3","SHAPIQ",5000,0.626,0.591975998867546,0.660024001132454
"171","k=3","SVARMIQ",16,0.018,0.0118124549063692,0.0241875450936308
"172","k=3","SVARMIQ",50,0.018,0.0118124549063692,0.0241875450936308
"173","k=3","SVARMIQ",100,0.03,0.0217934819335171,0.0382065180664829
"174","k=3","SVARMIQ",250,0.058,0.0455165415571694,0.0704834584428305
"175","k=3","SVARMIQ",500,0.192,0.170649666637406,0.213350333362594
"176","k=3","SVARMIQ",750,0.298,0.270971670191355,0.325028329808645
"177","k=3","SVARMIQ",1000,0.124,0.105580844044244,0.142419155955756
"178","k=3","SVARMIQ",2000,0.544,0.510295400907295,0.577704599092705
"179","k=3","SVARMIQ",3500,0.78,0.7578686665931,0.8021313334069
"180","k=3","SVARMIQ",5000,0.834,0.820414293225179,0.847585706774821
"181","k=4","KernelSHAPIQ",16,0.006,0.00260733083227489,0.00939266916772511
