"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"26","k=1","PermutationSamplingSII",50,0.00793400306178082,0.00720525132599403,0.00866275479756761
"27","k=1","PermutationSamplingSII",100,0.00793400306178082,0.00720525132599403,0.00866275479756761
"28","k=1","PermutationSamplingSII",250,0.00793400306178082,0.00720525132599403,0.00866275479756761
"29","k=1","PermutationSamplingSII",500,0.0157673453640392,0.014326950006805,0.0172077407212735
"30","k=1","PermutationSamplingSII",750,0.0211228304076229,0.0189359416223368,0.0233097191929089
"31","k=1","PermutationSamplingSII",1000,0.00854475186126331,0.00762702672844408,0.00946247699408254
"32","k=1","PermutationSamplingSII",2000,0.00393635770739213,0.0035563638667764,0.00431635154800786
"33","k=1","PermutationSamplingSII",3500,0.00220807614667192,0.00194782528083538,0.00246832701250846
"34","k=1","PermutationSamplingSII",5000,0.00162744085234444,0.00143438283966498,0.0018204988650239
"35","k=1","SHAPIQ",50,0.0128989812536929,0.0116892041171111,0.0141087583902748
"36","k=1","SHAPIQ",100,0.00513421308145087,0.00458733458366117,0.00568109157924057
"37","k=1","SHAPIQ",250,0.00304015537718586,0.00264773370607529,0.00343257704829643
"38","k=1","SHAPIQ",500,0.00291994183310981,0.00250138891467161,0.00333849475154801
"39","k=1","SHAPIQ",750,0.00262282205037835,0.00223088035109823,0.00301476374965847
"40","k=1","SHAPIQ",1000,0.00261596796571712,0.0022361161071376,0.00299581982429664
"41","k=1","SHAPIQ",2000,0.00085164252401249,0.000755158877428627,0.000948126170596353
"42","k=1","SHAPIQ",3500,0.0002389932877723,0.000211912654521558,0.000266073921023042
"43","k=1","SHAPIQ",5000,0.00014556708271051,0.000127307430974059,0.000163826734446961
"44","k=1","SVARMIQ",50,0.0078272770692734,0.00713240636931657,0.00852214776923023
"45","k=1","SVARMIQ",100,0.00329842062072614,0.00286474959442621,0.00373209164702607
"46","k=1","SVARMIQ",250,0.00254891738198903,0.00219335056285616,0.0029044842011219
"47","k=1","SVARMIQ",500,0.00259816069738991,0.00220707982180545,0.00298924157297437
"48","k=1","SVARMIQ",750,0.00256587465751293,0.00218577847089462,0.00294597084413124
"49","k=1","SVARMIQ",1000,0.00255845518161103,0.00218372762751777,0.00293318273570429
"50","k=1","SVARMIQ",2000,0.000138545167152,0.000121356574158683,0.000155733760145317
"51","k=1","SVARMIQ",3500,3.69976705420199e-05,3.225572696539e-05,4.17396141186499e-05
"52","k=1","SVARMIQ",5000,2.13385504875032e-05,1.86091970820045e-05,2.40679038930019e-05
"53","k=2","KernelSHAPIQ",50,744416197355.278,92030547859.4294,1396801846851.13
"54","k=2","KernelSHAPIQ",100,7.96499408271657,1.32401694192636,14.6059712235068
"55","k=2","KernelSHAPIQ",250,0.00960827112859662,0.0086170307017098,0.0105995115554834
"56","k=2","KernelSHAPIQ",500,0.00262637255256115,0.0023524587255434,0.0029002863795789
"57","k=2","KernelSHAPIQ",750,0.00107640228097995,0.00096354060073998,0.00118926396121992
"58","k=2","KernelSHAPIQ",1000,0.00092429762869393,0.00081804628696974,0.00103054897041812
"59","k=2","KernelSHAPIQ",2000,0.0007162111693162,0.000632062687851142,0.000800359650781258
"60","k=2","KernelSHAPIQ",3500,0.00019759918383732,0.000173573880039685,0.000221624487634955
"61","k=2","KernelSHAPIQ",5000,0.00010848955523897,9.64579363459101e-05,0.00012052117413203
"62","k=2","PermutationIQ",50,0.00591887557063432,0.0053105651824871,0.00652718595878154
"63","k=2","PermutationIQ",100,0.00439773224028299,0.00398912472963276,0.00480633975093322
"64","k=2","PermutationIQ",250,0.00263082916515798,0.00240999536471833,0.00285166296559763
"65","k=2","PermutationIQ",500,0.00166828492657155,0.00151776435728606,0.00181880549585704
"66","k=2","PermutationIQ",750,0.00113627859839158,0.00102985536725845,0.00124270182952471
"67","k=2","PermutationIQ",1000,0.00088067083822142,0.000796785585052793,0.000964556091390047
"68","k=2","PermutationIQ",2000,0.00045168557888871,0.000405448102768951,0.000497923055008469
"69","k=2","PermutationIQ",3500,0.00026275265917041,0.000238173353865001,0.000287331964475819
"70","k=2","PermutationIQ",5000,0.0001746341722397,0.000157826858319361,0.000191441486160039
"71","k=2","PermutationIQStratified",100,0.015479304137765,NA,NA
"72","k=2","PermutationIQStratified",250,0.00758698902273622,0.00671647045205542,0.00845750759341702
"73","k=2","PermutationIQStratified",500,0.00327753709286922,0.00289134391520354,0.0036637302705349
"74","k=2","PermutationIQStratified",750,0.00189720074024143,0.0016586336492473,0.00213576783123556
"75","k=2","PermutationIQStratified",1000,0.00131291999290129,0.00115776654100331,0.00146807344479927
"76","k=2","PermutationIQStratified",2000,0.0005247203668866,0.000471086772259125,0.000578353961514075
"77","k=2","PermutationIQStratified",3500,0.00026957291633625,0.00024328617297973,0.00029585965969277
"78","k=2","PermutationIQStratified",5000,0.00017800999328519,0.000161033163213842,0.000194986823356538
"79","k=2","PermutationSamplingSII",50,0.00111289950751669,0.00101297245671307,0.00121282655832031
"80","k=2","PermutationSamplingSII",100,0.00111289950751669,0.00101297245671307,0.00121282655832031
"81","k=2","PermutationSamplingSII",250,0.00111289950751669,0.00101297245671307,0.00121282655832031
"82","k=2","PermutationSamplingSII",500,0.00247531366028346,0.00221810894500378,0.00273251837556314
"83","k=2","PermutationSamplingSII",750,0.00249148572465594,0.0021238711302243,0.00285910031908758
"84","k=2","PermutationSamplingSII",1000,0.00336910223526713,0.0030080069805325,0.00373019749000176
"85","k=2","PermutationSamplingSII",2000,0.00513738601585421,0.0046348258377753,0.00563994619393312
"86","k=2","PermutationSamplingSII",3500,0.0067012100389519,0.00604168322896372,0.00736073684894008
"87","k=2","PermutationSamplingSII",5000,0.00654901402910288,0.00581156101990659,0.00728646703829917
"88","k=2","SHAPIQ",50,0.0744500253835447,0.0678044894160289,0.0810955613510606
"89","k=2","SHAPIQ",100,0.0326271029054268,0.029990705291942,0.0352635005189115
"90","k=2","SHAPIQ",250,0.0098501301671653,0.00903623598262516,0.0106640243517054
"91","k=2","SHAPIQ",500,0.00408358822507659,0.00375556646186868,0.0044116099882845
"92","k=2","SHAPIQ",750,0.00105919608582263,0.000975504086629508,0.00114288808501575
"93","k=2","SHAPIQ",1000,0.00079907200471149,0.000730380981392003,0.000867763028030977
"94","k=2","SHAPIQ",2000,0.00503203537680323,0.00448987320610327,0.00557419754750319
"95","k=2","SHAPIQ",3500,0.00140275659057379,0.00125372406331649,0.00155178911783109
"96","k=2","SHAPIQ",5000,0.00075474376319007,0.000677706527541076,0.000831780998839064
"97","k=2","SVARMIQ",50,0.00702794546290473,0.00647040355381171,0.00758548737199775
"98","k=2","SVARMIQ",100,0.00789829397195599,0.00724102191030252,0.00855556603360946
"99","k=2","SVARMIQ",250,0.00415588540917987,0.00382200044318691,0.00448977037517283
"100","k=2","SVARMIQ",500,0.00150694004229621,0.00139015087855771,0.00162372920603471
"101","k=2","SVARMIQ",750,0.00057582261709772,0.000521446005692905,0.000630199228502535
"102","k=2","SVARMIQ",1000,0.00055480432716934,0.000500793528468718,0.000608815125869962
"103","k=2","SVARMIQ",2000,0.00074774462863319,0.000672292345324598,0.000823196911941782
"104","k=2","SVARMIQ",3500,0.0001721433951181,0.000154751578798099,0.000189535211438101
"105","k=2","SVARMIQ",5000,9.53145803058991e-05,8.67645951668522e-05,0.000103864565444946
"106","k=3","KernelSHAPIQ",50,0.00466217293449468,0.00183374234806633,0.00749060352092303
"107","k=3","KernelSHAPIQ",100,1.24172671507831,0.0611473656104999,2.42230606454612
"108","k=3","KernelSHAPIQ",250,159.399410273361,35.5324020114973,283.266418535225
"109","k=3","KernelSHAPIQ",500,1566.85362094743,138.416895709211,2995.29034618565
"110","k=3","KernelSHAPIQ",750,1.63519051627893,0.75549841047381,2.51488262208405
"111","k=3","KernelSHAPIQ",1000,0.0643302413361413,0.0583042058949285,0.0703562767773541
"112","k=3","KernelSHAPIQ",2000,0.00372617878556043,0.00330174305394337,0.00415061451717749
"113","k=3","KernelSHAPIQ",3500,0.00113314206661851,0.00100118070945733,0.00126510342377969
