"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"152","K=(1, 3)","player_1",5000,0.000906862364891,0.00071236596926223,0.00110135876051977
"153","K=(1, 3)","player_1",7500,0.00078295163817716,0.00067331719610626,0.00089258608024806
"154","K=(1, 3)","player_1",10000,0.00056995813128878,0.000482679957679536,0.000657236304898024
"155","K=(1, 3)","player_3",50,0.0646182880861496,0.0492198526263431,0.0800167235459561
"156","K=(1, 3)","player_3",100,0.0245696816411388,0.0173857989878849,0.0317535642943928
"157","K=(1, 3)","player_3",250,0.00795982408453142,0.0064482330442882,0.00947141512477464
"158","K=(1, 3)","player_3",500,0.00296940564553065,0.00243624522470666,0.00350256606635464
"159","K=(1, 3)","player_3",750,0.00272638845628766,0.00220790660665255,0.00324487030592277
"160","K=(1, 3)","player_3",1000,0.00283035731616766,0.00229848737068747,0.00336222726164785
"161","K=(1, 3)","player_3",2000,0.0013063168147998,0.0009958528670764,0.0016167807625232
"162","K=(1, 3)","player_3",3500,0.00089753345064957,0.00073145508616435,0.00106361181513479
"163","K=(1, 3)","player_3",5000,0.00081954899952447,0.00069081081782641,0.00094828718122253
"164","K=(1, 3)","player_3",7500,0.00046405220340738,0.000379587888478537,0.000548516518336223
"165","K=(1, 3)","player_3",10000,0.00052408584726662,0.000451174056927542,0.000596997637605699
"166","K=(2, 3)","inverse_variance_weighting",50,0.0148919349062096,0.0114891946460624,0.0182946751663568
"167","K=(2, 3)","inverse_variance_weighting",100,0.0111692460459343,0.00897605020752199,0.0133624418843466
"168","K=(2, 3)","inverse_variance_weighting",250,0.00533440544527013,0.00448839867474244,0.00618041221579782
"169","K=(2, 3)","inverse_variance_weighting",500,0.00333643100934625,0.0028070504899768,0.0038658115287157
"170","K=(2, 3)","inverse_variance_weighting",750,0.00385352945325605,0.00311522438755612,0.00459183451895598
"171","K=(2, 3)","inverse_variance_weighting",1000,0.00310617668212318,0.00252725644539187,0.00368509691885449
"172","K=(2, 3)","inverse_variance_weighting",2000,0.00221955617913465,0.00193577702432088,0.00250333533394842
"173","K=(2, 3)","inverse_variance_weighting",3500,0.00226799733231203,0.00197717451482576,0.0025588201497983
"174","K=(2, 3)","inverse_variance_weighting",5000,0.00177165733667606,0.00159186766265116,0.00195144701070096
"175","K=(2, 3)","inverse_variance_weighting",7500,0.0016195123046257,0.00148731850790014,0.00175170610135126
"176","K=(2, 3)","inverse_variance_weighting",10000,0.00175171472798028,0.00163224756730493,0.00187118188865563
"177","K=(2, 3)","inverse_variance_weighting_optimal",50,0.0235220596254433,0.0185346360229538,0.0285094832279327
"178","K=(2, 3)","inverse_variance_weighting_optimal",100,0.0134979988119246,0.0109893405856188,0.0160066570382304
"179","K=(2, 3)","inverse_variance_weighting_optimal",250,0.00633409466414763,0.00533864706417035,0.00732954226412491
"180","K=(2, 3)","inverse_variance_weighting_optimal",500,0.00289577000085497,0.00244370188805156,0.00334783811365838
"181","K=(2, 3)","inverse_variance_weighting_optimal",750,0.00405563826244097,0.00336824578621105,0.00474303073867089
"182","K=(2, 3)","inverse_variance_weighting_optimal",1000,0.00311038527169906,0.00250762192234619,0.00371314862105193
"183","K=(2, 3)","inverse_variance_weighting_optimal",2000,0.00211800086938321,0.0018384794939913,0.00239752224477512
"184","K=(2, 3)","inverse_variance_weighting_optimal",3500,0.00217184914559284,0.00189004782152074,0.00245365046966494
"185","K=(2, 3)","inverse_variance_weighting_optimal",5000,0.00173758128018606,0.0015589583761747,0.00191620418419742
"186","K=(2, 3)","inverse_variance_weighting_optimal",7500,0.00160641649012236,0.00147181307850892,0.0017410199017358
"187","K=(2, 3)","inverse_variance_weighting_optimal",10000,0.00172796539620725,0.00160868133869039,0.00184724945372411
