"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"178","k=4","SHAPIQ",50,0.06,0.0489343332965502,0.0710656667034498
"179","k=4","SHAPIQ",100,0.046,0.0356155532312079,0.0563844467687921
"180","k=4","SHAPIQ",200,0.054,0.0428571428571429,0.0651428571428571
"181","k=4","SHAPIQ",350,0.118,0.101664237304088,0.134335762695912
"182","k=4","SHAPIQ",500,0.054,0.0448705455379026,0.0631294544620974
"183","k=4","SHAPIQ",750,0.086,0.0735427260819476,0.0984572739180524
"184","k=4","SHAPIQ",1000,0.24,0.221483598004549,0.258516401995451
"185","k=4","SVARMIQ",11,0.046,0.0368705455379026,0.0551294544620974
"186","k=4","SVARMIQ",50,0.09,0.0784824889310021,0.101517511068998
"187","k=4","SVARMIQ",100,0.112,0.0964449627556386,0.127555037244361
"188","k=4","SVARMIQ",200,0.03,0.0204168515250009,0.0395831484749991
"189","k=4","SVARMIQ",350,0.698,0.674354661330056,0.721645338669944
"190","k=4","SVARMIQ",500,0.1,0.0865988121147902,0.11340118788521
"191","k=4","SVARMIQ",750,0.224,0.201582805433219,0.246417194566781
"192","k=4","SVARMIQ",1000,0.812,0.796444962755639,0.827555037244361
