"","Facetvar","Approximator","Runtime_mean","RuntimeWithCostPerBudget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"21","k=4","PermutationIQStratified",0.464777164459229,250000.464777164,0.062314603019675,0.0596736025244975,0.0649556035148524
"22","k=4","PermutationIQStratified",0.61457808971405,375000.61457809,0.0326173603210467,0.0310355932847394,0.0341991273573541
"23","k=4","PermutationIQStratified",0.765413846969604,500000.765413847,0.0249079558808491,0.022754807504472,0.0270611042572263
"24","k=4","PermutationIQStratified",1.36642410755157,1000001.36642411,0.00895193021231323,0.00884553791970429,0.00905832250492217
"25","k=4","PermutationIQStratified",2.27442342758179,1750002.27442343,0.0056787772360744,0.00562959482536931,0.00572795964677949
"26","k=4","PermutationIQStratified",3.21812237739563,2500003.21812238,0.00416505780517123,0.00412858755080381,0.00420152805953865
"27","k=4","PermutationSamplingSII",9.37938690185547e-05,25000.0000937939,0.00386990395274347,0.00376999069972298,0.00396981720576396
"28","k=4","PermutationSamplingSII",9.41896438598633e-05,50000.0000941896,0.00386990395274347,0.00376999069972298,0.00396981720576396
"29","k=4","PermutationSamplingSII",9.25350189208984e-05,125000.000092535,0.00386990395274347,0.00376999069972298,0.00396981720576396
"30","k=4","PermutationSamplingSII",0.00330571174621582,250000.003305712,0.00595769037988055,0.00573790716604422,0.00617747359371688
"31","k=4","PermutationSamplingSII",0.00635459423065185,375000.006354594,0.00811053988967811,0.00787679810083073,0.00834428167852549
"32","k=4","PermutationSamplingSII",0.00634473323822021,500000.006344733,0.00869881122152087,0.00840359883337936,0.00899402360966238
"33","k=4","PermutationSamplingSII",0.0153830051422119,1000000.01538301,0.0154777942731013,0.0150071600054829,0.0159484285407197
"34","k=4","PermutationSamplingSII",0.0275602960586548,1750000.0275603,0.0235756577684324,0.0229080278422067,0.024243287694658
"35","k=4","PermutationSamplingSII",0.0427150392532349,2500000.04271504,0.0337090833555917,0.0329969794216271,0.0344211872895563
"36","k=4","SHAPIQ",0.0791589117050171,25000.0791589117,0.227639156236154,0.200825230342471,0.254453082129837
"37","k=4","SHAPIQ",0.0923909759521484,50000.092390976,0.108859481997511,0.0962169781752047,0.121501985819818
"38","k=4","SHAPIQ",0.139279289245605,125000.139279289,0.030296707449754,0.0267195581074658,0.0338738567920422
"39","k=4","SHAPIQ",0.201499338150024,250000.201499338,0.00859224196338955,0.00764141799666776,0.00954306593011134
"40","k=4","SHAPIQ",0.290511145591736,375000.290511146,0.00344123306001743,0.00310089257563369,0.00378157354440117
"41","k=4","SHAPIQ",0.307922019958496,500000.30792202,0.238942092039739,0.206846666027307,0.271037518052172
"42","k=4","SHAPIQ",0.589851393699646,1000000.58985139,0.0124343353587931,0.0108939364338465,0.0139747342837397
"43","k=4","SHAPIQ",1.02274090766907,1750001.02274091,0.00472066140786949,0.00415644665089419,0.00528487616484479
"44","k=4","SHAPIQ",1.47558663368225,2500001.47558663,0.00275652557645025,0.00241307760553087,0.00309997354736963
"45","k=4","SVARMIQ",6.33538409233093,25006.3353840923,0.010212575564999,0.00908364429957361,0.0113415068304245
"46","k=4","SVARMIQ",7.14868655204773,50007.148686552,0.0234749184129705,0.0197912219226573,0.0271586149032836
"47","k=4","SVARMIQ",9.71867422580719,125009.718674226,0.00505670920415113,0.00469377619466094,0.00541964221364132
"48","k=4","SVARMIQ",13.6411075210571,250013.641107521,0.00816385131328497,0.00688119748895424,0.0094465051376157
"49","k=4","SVARMIQ",17.9828957033157,375017.982895703,0.00247279454110676,0.00217610455294539,0.00276948452926813
"50","k=4","SVARMIQ",38.3625876331329,500038.362587633,0.0111635997579927,0.0100176873493658,0.0123095121666196
"51","k=4","SVARMIQ",66.5387336492538,1000066.53873365,0.00362010205737015,0.00343018814053115,0.00381001597420915
"52","k=4","SVARMIQ",107.988435678482,1750107.98843568,0.00192669663516041,0.00177990482468178,0.00207348844563904
"53","k=4","SVARMIQ",151.189620537758,2500151.18962054,0.00108511950445382,0.0010066925015547,0.00116354650735294
