"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"40","K=(0, 1)","player_0",2000,0.380417216066929,0.353204954529496,0.407629477604361
"41","K=(0, 1)","player_0",3500,0.363605015834281,0.338985751577465,0.388224280091096
"42","K=(0, 1)","player_0",5000,0.366508763253264,0.343725036720387,0.389292489786141
"43","K=(0, 1)","player_0",7500,0.386899476864091,0.366540864360321,0.407258089367862
"44","K=(0, 1)","player_0",10000,0.355315820084049,0.340858574615132,0.369773065552966
"45","K=(0, 1)","player_1",50,23.6007343209806,8.02827498569704,39.1731936562642
"46","K=(0, 1)","player_1",100,11.8716602673397,6.49752134692629,17.2457991877532
"47","K=(0, 1)","player_1",250,2.59254245386474,1.6967222844794,3.48836262325008
"48","K=(0, 1)","player_1",500,1.37811727552849,1.00831777435592,1.74791677670106
"49","K=(0, 1)","player_1",750,1.45659873242227,1.06694644473436,1.84625102011019
"50","K=(0, 1)","player_1",1000,0.617777653242049,0.484205421405475,0.751349885078623
"51","K=(0, 1)","player_1",2000,0.89710066700973,0.715645355813749,1.07855597820571
"52","K=(0, 1)","player_1",3500,0.508518385139649,0.419557148962346,0.597479621316952
"53","K=(0, 1)","player_1",5000,0.518612532997385,0.434967196046604,0.602257869948165
"54","K=(0, 1)","player_1",7500,0.451651790243431,0.408795964771496,0.494507615715367
"55","K=(0, 1)","player_1",10000,0.34615891946111,0.314239551321975,0.378078287600244
"56","K=(0, 2)","inverse_variance_weighting",50,1.44147221551763,1.24986325358079,1.63308117745446
"57","K=(0, 2)","inverse_variance_weighting",100,0.926129616322624,0.828915683447431,1.02334354919782
"58","K=(0, 2)","inverse_variance_weighting",250,0.748740195655595,0.671868128426463,0.825612262884726
"59","K=(0, 2)","inverse_variance_weighting",500,0.637440831951781,0.581973345834742,0.692908318068821
"60","K=(0, 2)","inverse_variance_weighting",750,0.660004258312023,0.603527204768323,0.716481311855723
"61","K=(0, 2)","inverse_variance_weighting",1000,0.592329421104716,0.541313400221024,0.643345441988409
"62","K=(0, 2)","inverse_variance_weighting",2000,0.578418592785317,0.537420951525152,0.619416234045483
"63","K=(0, 2)","inverse_variance_weighting",3500,0.603574990834581,0.571791038702458,0.635358942966704
"64","K=(0, 2)","inverse_variance_weighting",5000,0.563869881195553,0.536452916434426,0.59128684595668
"65","K=(0, 2)","inverse_variance_weighting",7500,0.538591352213599,0.511276070920939,0.565906633506259
