"","Facetvar","Approximator","Budget","Prec10_mean","Prec10_ribbon_min","Prec10_ribbon_max"
"161","k=3","SHAPIQ",16,0.016,0.0100341105663368,0.0219658894336632
"162","k=3","SHAPIQ",50,0.02,0.0130014578777623,0.0269985421222377
"163","k=3","SHAPIQ",100,0.012,0.00735769234020803,0.016642307659792
"164","k=3","SHAPIQ",250,0.022,0.0154285714285714,0.0285714285714286
"165","k=3","SHAPIQ",500,0.02,0.0142857142857143,0.0257142857142857
"166","k=3","SHAPIQ",750,0.016,0.0100341105663368,0.0219658894336632
"167","k=3","SHAPIQ",1000,0.012,0.00735769234020803,0.016642307659792
"168","k=3","SHAPIQ",2000,0.032,0.0247493842626003,0.0392506157373997
"169","k=3","SHAPIQ",3500,0.07,0.0592145222353275,0.0807854777646725
"170","k=3","SHAPIQ",5000,0.12,0.107546003018455,0.132453996981545
"171","k=3","SVARMIQ",16,0.014,0.00904304240774358,0.0189569575922564
"172","k=3","SVARMIQ",50,0.008,0.00412438286678557,0.0118756171332144
"173","k=3","SVARMIQ",100,0,0,0
"174","k=3","SVARMIQ",250,0.022,0.0137736114006354,0.0302263885993646
"175","k=3","SVARMIQ",500,0.002,0,0.004
"176","k=3","SVARMIQ",750,0,0,0
"177","k=3","SVARMIQ",1000,0.058,0.0480655207710207,0.0679344792289793
"178","k=3","SVARMIQ",2000,0.056,0.0460368024147642,0.0659631975852358
"179","k=3","SVARMIQ",3500,0.566,0.55435560921582,0.57764439078418
"180","k=3","SVARMIQ",5000,0.73,0.714814077410379,0.745185922589621
"181","k=4","KernelSHAPIQ",16,0.004,0.00120058315110494,0.00679941684889506
"182","k=4","KernelSHAPIQ",50,0.002,0,0.004
"183","k=4","KernelSHAPIQ",100,0.012,0.00360174945331482,0.0203982505466852
"184","k=4","KernelSHAPIQ",250,0.034,0.0246934300143415,0.0433065699856585
"185","k=4","KernelSHAPIQ",500,0.036,0.0270740003703924,0.0449259996296076
"186","k=4","KernelSHAPIQ",750,0.164,0.147399041089904,0.180600958910096
"187","k=4","KernelSHAPIQ",1000,0.002,0,0.004
"188","k=4","KernelSHAPIQ",2000,0.04,0.0319187796435823,0.0480812203564177
"189","k=4","KernelSHAPIQ",3500,0.198,0.183574965072726,0.212425034927274
"190","k=4","KernelSHAPIQ",5000,0.388,0.373817515833153,0.402182484166847
"191","k=4","PermutationIQ",16,0,0,0
"192","k=4","PermutationIQ",50,0.058,0.0465393307884963,0.0694606692115038
"193","k=4","PermutationIQ",100,0.06,0.0489343332965502,0.0710656667034498
"194","k=4","PermutationIQ",250,0.058,0.0465393307884962,0.0694606692115037
"195","k=4","PermutationIQ",500,0.072,0.0585866347493652,0.0854133652506349
"196","k=4","PermutationIQ",750,0.092,0.0795985517633082,0.104401448236692
"197","k=4","PermutationIQ",1000,0.102,0.0900511293335277,0.113948870666472
"198","k=4","PermutationIQ",2000,0.12,0.10659881211479,0.13340118788521
"199","k=4","PermutationIQ",3500,0.118,0.107049275487579,0.128950724512421
"200","k=4","PermutationIQ",5000,0.158,0.143129127223231,0.172870872776769
"201","k=4","PermutationIQStratified",16,0,0,0
"202","k=4","PermutationIQStratified",50,0,0,0
"203","k=4","PermutationIQStratified",100,0.044,0.0318244138556214,0.0561755861443786
"204","k=4","PermutationIQStratified",250,0.028,0.0204191433363305,0.0355808566636695
"205","k=4","PermutationIQStratified",500,0.048,0.0380040824659795,0.0579959175340205
"206","k=4","PermutationIQStratified",750,0.052,0.0437984570889101,0.0602015429110899
"207","k=4","PermutationIQStratified",1000,0.074,0.0603543383585605,0.0876456616414395
"208","k=4","PermutationIQStratified",2000,0.096,0.0842335655531577,0.107766434446842
"209","k=4","PermutationIQStratified",3500,0.11,0.0968292222038673,0.123170777796133
"210","k=4","PermutationIQStratified",5000,0.154,0.138824832314412,0.169175167685588
"211","k=4","PermutationSamplingSII",16,0,0,0
"212","k=4","PermutationSamplingSII",50,0,0,0
"213","k=4","PermutationSamplingSII",100,0,0,0
"214","k=4","PermutationSamplingSII",250,0,0,0
"215","k=4","PermutationSamplingSII",500,0.01,0.00571428571428572,0.0142857142857143
"216","k=4","PermutationSamplingSII",750,0.016,0.0107627706343362,0.0212372293656638
"217","k=4","PermutationSamplingSII",1000,0.022,0.0148343221691517,0.0291656778308482
"218","k=4","PermutationSamplingSII",2000,0.048,0.0368461592594611,0.0591538407405389
"219","k=4","PermutationSamplingSII",3500,0.054,0.043229670385731,0.064770329614269
"220","k=4","PermutationSamplingSII",5000,0.058,0.0455165415571694,0.0704834584428305
"221","k=4","SHAPIQ",16,0,0,0
"222","k=4","SHAPIQ",50,0.002,0,0.004
"223","k=4","SHAPIQ",100,0,0,0
"224","k=4","SHAPIQ",250,0,0,0
"225","k=4","SHAPIQ",500,0.002,0,0.004
"226","k=4","SHAPIQ",750,0.004,0.00120058315110494,0.00679941684889506
"227","k=4","SHAPIQ",1000,0.006,0.00260733083227489,0.00939266916772511
"228","k=4","SHAPIQ",2000,0,0,0
"229","k=4","SHAPIQ",3500,0.002,0,0.004
"230","k=4","SHAPIQ",5000,0.004,0.00120058315110494,0.00679941684889506
"231","k=4","SVARMIQ",16,0.01,0.00410984910626049,0.0158901508937395
"232","k=4","SVARMIQ",50,0,0,0
"233","k=4","SVARMIQ",100,0,0,0
"234","k=4","SVARMIQ",250,0.002,0,0.004
"235","k=4","SVARMIQ",500,0,0,0
"236","k=4","SVARMIQ",750,0.004,0.00120058315110494,0.00679941684889506
"237","k=4","SVARMIQ",1000,0.004,0.00120058315110494,0.00679941684889506
"238","k=4","SVARMIQ",2000,0,0,0
"239","k=4","SVARMIQ",3500,0.002,0,0.004
"240","k=4","SVARMIQ",5000,0.004,0.00120058315110494,0.00679941684889506
