"","Facetvar","Approximator","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"130","k=3","PermutationIQStratified",2000,0.00251366188911752,0.00247714452289318,0.00255017925534186
"131","k=3","PermutationIQStratified",3500,0.00154837665573289,0.001524496126667,0.00157225718479878
"132","k=3","PermutationIQStratified",5000,0.00113826208701971,0.00112415298517085,0.00115237118886857
"133","k=3","PermutationSamplingSII",50,0.00153624313278054,0.0014891808910347,0.00158330537452638
"134","k=3","PermutationSamplingSII",100,0.00153624313278054,0.0014891808910347,0.00158330537452638
"135","k=3","PermutationSamplingSII",250,0.00153624313278054,0.0014891808910347,0.00158330537452638
"136","k=3","PermutationSamplingSII",500,0.00464259578806177,0.00438179049960588,0.00490340107651766
"137","k=3","PermutationSamplingSII",750,0.00786356206384948,0.00743741885631097,0.00828970527138799
"138","k=3","PermutationSamplingSII",1000,0.00834212907223791,0.00798292556504805,0.00870133257942777
"139","k=3","PermutationSamplingSII",2000,0.0181535530913405,0.0175060393999177,0.0188010667827633
"140","k=3","PermutationSamplingSII",3500,0.0273735510233027,0.0266144188467465,0.028132683199859
"141","k=3","PermutationSamplingSII",5000,0.0381060915284325,0.0372391761726008,0.0389730068842642
"142","k=3","SHAPIQ",50,0.0691422855873055,0.060840470898281,0.0774441002763299
"143","k=3","SHAPIQ",100,0.0318956154425968,0.0280546750981666,0.035736555787027
"144","k=3","SHAPIQ",250,0.00858096797020977,0.00757843211991288,0.00958350382050666
"145","k=3","SHAPIQ",500,0.00201453302644012,0.00177713354921361,0.00225193250366663
"146","k=3","SHAPIQ",750,0.00076551799339148,0.000679302300004823,0.000851733686778137
"147","k=3","SHAPIQ",1000,0.0280243204329326,0.024416842416924,0.0316317984489413
"148","k=3","SHAPIQ",2000,0.00153644539377444,0.00135276154865521,0.00172012923889367
"149","k=3","SHAPIQ",3500,0.00059026285933063,0.000517849158559611,0.000662676560101649
"150","k=3","SHAPIQ",5000,0.00034651277397486,0.000302152732569013,0.000390872815380707
"151","k=3","SVARMIQ",50,0.00350012653786835,0.00320835554934119,0.00379189752639551
"152","k=3","SVARMIQ",100,0.00415399753579017,0.00394381080630215,0.00436418426527819
"153","k=3","SVARMIQ",250,0.0018495408237372,0.00174512165935731,0.00195395998811709
"154","k=3","SVARMIQ",500,0.00050363327218133,0.000479357164053547,0.000527909380309113
"155","k=3","SVARMIQ",750,0.00026285778492481,0.000245447424155344,0.000280268145694276
"156","k=3","SVARMIQ",1000,0.00512726615233207,0.00464948570274483,0.00560504660191931
"157","k=3","SVARMIQ",2000,0.00058173213378285,0.000568709533551219,0.000594754734014481
"158","k=3","SVARMIQ",3500,0.00019834579429915,0.000196311433036279,0.000200380155562021
"159","k=3","SVARMIQ",5000,0.00010989920863249,0.000108633594924941,0.000111164822340039
"160","k=4","KernelSHAPIQ",50,0.003997806126171,0.00388935062075395,0.00410626163158805
"161","k=4","KernelSHAPIQ",100,0.00753408608058647,0.00686827522565713,0.00819989693551581
"162","k=4","KernelSHAPIQ",250,0.00814022647831228,0.00722128185358113,0.00905917110304343
"163","k=4","KernelSHAPIQ",500,0.00466355651955351,0.00419444281098052,0.0051326702281265
"164","k=4","KernelSHAPIQ",750,0.00338820736151117,0.00302617887622991,0.00375023584679243
"165","k=4","KernelSHAPIQ",1000,43.3228581971725,23.7366945262345,62.9090218681106
"166","k=4","KernelSHAPIQ",2000,0.0701847308178842,0.0607760778818054,0.0795933837539629
"167","k=4","KernelSHAPIQ",3500,0.014677199474429,0.0127086530023082,0.0166457459465497
"168","k=4","KernelSHAPIQ",5000,0.0075321715636693,0.00651658710846979,0.00854775601886881
"169","k=4","PermutationIQ",50,0.0999534580329728,0.0935713654340145,0.106335550631931
"170","k=4","PermutationIQ",100,0.0702862597755536,0.0675820372585414,0.0729904822925658
"171","k=4","PermutationIQ",250,0.0396844105062393,0.0387290919786024,0.0406397290338763
"172","k=4","PermutationIQ",500,0.0248670802317939,0.0245079685578443,0.0252261919057435
"173","k=4","PermutationIQ",750,0.0175459389267845,0.0173224452912928,0.0177694325622763
"174","k=4","PermutationIQ",1000,0.0150001416929776,0.014808642271872,0.0151916411140832
"175","k=4","PermutationIQ",2000,0.0084071705631633,0.00832005663378689,0.0084942844925397
